  1948         2019
 1994   -0.298   -0.311   -0.281   -0.202   -0.209   -0.224   -0.233   -0.238   -0.154   -0.062   -0.022   -0.093
 1995   -0.065   -0.042    0.014    0.073    0.269    0.361    0.311    0.180    0.051    0.099    0.124    0.039
 1996   -0.013   -0.035   -0.060    0.007   -0.068   -0.126   -0.108   -0.011   -0.005   -0.148   -0.177   -0.158
 1997   -0.094   -0.039    0.002    0.005    0.037    0.005    0.057    0.012    0.106    0.147    0.048    0.128
 1998    0.127    0.289    0.319    0.288    0.381    0.486    0.484    0.509    0.409    0.379    0.314    0.276
 1999    0.048    0.054    0.066    0.049    0.159    0.177    0.195    0.304    0.182    0.014   -0.052    0.011
 2000   -0.087   -0.041    0.100    0.039    0.102   -0.021    0.069    0.100    0.098   -0.043   -0.056   -0.130
 2001   -0.131   -0.030    0.011   -0.015   -0.012    0.195    0.132    0.174    0.283    0.248    0.153    0.210
 2002    0.178    0.162    0.141    0.024   -0.051   -0.120   -0.069    0.103    0.076    0.108    0.016    0.001
 2003    0.047   -0.016    0.109    0.076    0.148    0.202    0.273    0.412    0.449    0.423    0.220    0.221
 2004    0.207    0.206    0.155    0.105    0.003    0.174    0.224    0.313    0.237    0.239    0.218    0.184
 2005    0.108    0.122    0.281    0.289    0.290    0.324    0.444    0.437    0.415    0.235    0.137    0.213
 2006    0.120    0.072    0.057    0.194    0.305    0.330    0.371    0.398    0.361    0.331    0.286    0.168
 2007    0.168    0.214    0.124    0.156    0.108    0.085    0.126    0.052    0.095    0.155    0.173    0.108
 2008    0.027    0.125    0.155    0.040    0.169    0.253    0.203    0.172    0.195    0.099   -0.002    0.016
 2009   -0.062   -0.167   -0.163   -0.134   -0.064    0.118    0.225    0.149    0.054    0.161    0.066    0.079
 2010    0.037    0.174    0.284    0.422    0.456    0.444    0.447    0.522    0.446    0.321    0.232    0.205
 2011    0.141    0.105    0.052    0.089    0.149    0.175    0.088    0.144    0.141    0.059   -0.074   -0.048
 2012   -0.068    0.001    0.022    0.077    0.161    0.297    0.372    0.428    0.445    0.326    0.162    0.138
 2013    0.125    0.112    0.155    0.133    0.098    0.043    0.187    0.191    0.251    0.344    0.125    0.033
 2014   -0.065   -0.046   -0.084   -0.097   -0.005    0.059    0.218    0.331    0.307    0.289    0.061    0.055
 2015   -0.012   -0.007   -0.133   -0.075    0.041    0.025    0.128    0.175    0.297    0.321    0.183    0.226
 2016    0.227    0.152    0.184    0.173    0.340    0.405    0.428    0.453    0.454    0.377    0.387    0.331
 2017    0.222    0.223    0.164    0.279    0.310    0.304    0.298    0.306    0.346    0.429    0.348    0.360
 2018    0.169    0.058    0.128    0.060   -0.004   -0.015    0.014    0.109    0.158    0.140   -0.124   -0.064
 2019   -0.018    0.077    0.118    0.120    0.084    0.170    0.348    0.334    0.242    0.155  -99.990  -99.990
  -99.99
  AMO unsmoothed, detrended from the Kaplan SST V2
  Calculated at NOAA/ESRL/PSD1
  http://www.esrl.noaa.gov/psd/data/timeseries/AMO/
